Entry	Gene names  (primary )	Entry name	Gene ontology IDs	Organism	Gene names
P64542	ypeC	YPEC_ECOLI		Escherichia coli (strain K12)	ypeC b2390 JW2387
P76559	ypfG	YPFG_ECOLI		Escherichia coli (strain K12)	ypfG b2466 JW2450
P64429	ypfJ	YPFJ_ECOLI	GO:0016021	Escherichia coli (strain K12)	ypfJ b2475 JW2460
A5A621	ypfM	YPFM_ECOLI	GO:0005737	Escherichia coli (strain K12)	ypfM b4606 JW2454.1
P76561	ypfH	YPFH_ECOLI	GO:0052689; GO:0005737; GO:0016788; GO:0008474; GO:0002084	Escherichia coli (strain K12)	ypfH b2473 JW5396
C4ZX47	ypfN	YPFN_ECOBW	GO:0016021; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	ypfN BWG_2236
B1XAE4	ypfN	YPFN_ECODH	GO:0016021; GO:0005886	Escherichia coli (strain K12 / DH10B)	ypfN ECDH10B_2638
Q2EET2	ypfN	YPFN_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	ypfN b4547 JW2457
P0AD47	yphA	YPHA_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yphA b2543 JW2527
P76584	yphB	YPHB_ECOLI	GO:0030246; GO:0005975; GO:0006974; GO:0016853	Escherichia coli (strain K12)	yphB b2544 JW2528
P77360	yphC	YPHC_ECOLI	GO:0016491; GO:0008270	Escherichia coli (strain K12)	yphC b2545 JW5842
P77269	yphF	YPHF_ECOLI	GO:0042597; GO:0006810	Escherichia coli (strain K12)	yphF b2548 JW2532
P77315	yphD	YPHD_ECOLI	GO:0016021; GO:0015145; GO:0015749; GO:0005886	Escherichia coli (strain K12)	yphD b2546 JW2530
P18355		YPFU_ECOLI	GO:0003677	Escherichia coli (strain K12)	
P76585	yphG	YPHG_ECOLI		Escherichia coli (strain K12)	yphG b2549 JW5405
P77509	yphE	YPHE_ECOLI	GO:0005524; GO:0016887; GO:0006810	Escherichia coli (strain K12)	yphE b2547 JW2531
P76586	yphH	YPHH_ECOLI		Escherichia coli (strain K12)	yphH b2550 JW5406
P76612	ypjB	YPJB_ECOLI		Escherichia coli (strain K12)	ypjB b2649 JW2629
P64432	ypjD	YPJD_ECOLI	GO:0017004; GO:0020037; GO:0016021; GO:0005886	Escherichia coli (strain K12)	ypjD b2611 JW2592
P52134	ypjK	YPJK_ECOLI		Escherichia coli (strain K12)	ypjK b2635 JW5888
P52143	ypjA	YPJA_ECOLI	GO:0007155; GO:0009279; GO:0016021	Escherichia coli (strain K12)	ypjA b2647 JW5422
Q46953	ypjF	YPJF_ECOLI		Escherichia coli (strain K12)	ypjF b2646 JW2627
P58095	ypjI	YPJI_ECOLI		Escherichia coli (strain K12)	ypjI b4644 JW2623.1 b2641.1
P76613	ypjC	YPJC_ECOLI		Escherichia coli (strain K12)	ypjC b2650 JW5424
P58033	ypjJ	YPJJ_ECOLI		Escherichia coli (strain K12)	ypjJ b4548 JW5421
P77475	yqaB	YQAB_ECOLI	GO:0008801; GO:0016311; GO:0000287; GO:0016791	Escherichia coli (strain K12)	yqaB b2690 JW2665
P0AE42	yqaE	YQAE_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yqaE b2666 JW2641
P0ADR0	yqaA	YQAA_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yqaA b2689 JW2664
P77031	yqcE	YQCE_ECOLI	GO:0016021; GO:0005886; GO:0055085	Escherichia coli (strain K12)	yqcE yqcF b2775 JW2746
P65367	yqcA	YQCA_ECOLI	GO:0010181; GO:0005506; GO:0055114	Escherichia coli (strain K12)	yqcA b2790 JW2761
Q46919	yqcC	YQCC_ECOLI	GO:0044010	Escherichia coli (strain K12)	yqcC b2792 JW2763
Q46939	yqeF	YQEF_ECOLI	GO:0071271; GO:0003985; GO:0003988; GO:0005737	Escherichia coli (strain K12)	yqeF b2844 JW5453
P63340	yqeG	YQEG_ECOLI	GO:0003333; GO:0016021; GO:0005886	Escherichia coli (strain K12)	yqeG b2845 JW2813
Q46808	yqeB	YQEB_ECOLI		Escherichia coli (strain K12)	yqeB b2875 JW2843
P77136	yqeK	YQEK_ECOLI		Escherichia coli (strain K12)	yqeK b2849 JW2817
Q46943	yqeJ	YQEJ_ECOLI	GO:0016021	Escherichia coli (strain K12)	yqeJ b2848 JW5455
C1P613	yqeL	YQEL_ECOLI		Escherichia coli (strain K12)	yqeL b4683 JW5455.1
Q46809	yqeC	YQEC_ECOLI	GO:0005524; GO:0009058	Escherichia coli (strain K12)	yqeC b2876 JW5464
Q46941	yqeH	YQEH_ECOLI	GO:0003677; GO:0006355	Escherichia coli (strain K12)	yqeH b2846 JW5454
C1P612	yqcG	YQCG_ECOLI	GO:0036460	Escherichia coli (strain K12)	yqcG b4682 JW2748.1
P67153	yqfA	YQFA_ECOLI	GO:0019835; GO:0016021; GO:0005886	Escherichia coli (strain K12)	yqfA b2899 JW2867
C5A0H2	yqfB	YQFB_ECOBW		Escherichia coli (strain K12 / MC4100 / BW2952)	yqfB BWG_2625
B1XEI7	yqfB	YQFB_ECODH		Escherichia coli (strain K12 / DH10B)	yqfB ECDH10B_3074
P67603	yqfB	YQFB_ECOLI	GO:0005829	Escherichia coli (strain K12)	yqfB b2900 JW2868
Q46942	yqeI	YQEI_ECOLI	GO:0003677; GO:0005622; GO:0000160; GO:0006355; GO:0006351	Escherichia coli (strain K12)	yqeI b2847 JW2815
P64562	yqfE	YQFE_ECOLI		Escherichia coli (strain K12)	yqfE b2915 JW2882
P64567	yqgB	YQGB_ECOLI	GO:0005737; GO:0010447	Escherichia coli (strain K12)	yqgB b2939 JW2906
P46879	yqgD	YQGD_ECOLI		Escherichia coli (strain K12)	yqgD b2941 JW2908
C1P614	yqfG	YQFG_ECOLI		Escherichia coli (strain K12)	yqfG b4684 JW5470.1
P64570	yqgC	YQGC_ECOLI		Escherichia coli (strain K12)	yqgC b2940 JW2907
Q46831	yqgA	YQGA_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yqgA b2966 JW2934
B1XFA8	yqgE	YQGE_ECODH		Escherichia coli (strain K12 / DH10B)	yqgE ECDH10B_3123
C5A0L7	yqgE	YQGE_ECOBW		Escherichia coli (strain K12 / MC4100 / BW2952)	yqgE BWG_2670
P0A8W5	yqgE	YQGE_ECOLI	GO:0005829	Escherichia coli (strain K12)	yqgE b2948 JW2915
